savivaldybe,drunk_incidents
Vilniaus m. sav.,1774
Kauno m. sav.,824
Vilniaus miesto sav.,717
Vilniaus r. sav.,399
Klaipėdos m. sav.,397
Kauno miesto sav.,362
Kauno r. sav.,308
Panevėžio m. sav.,291
Šiaulių m. sav.,257
Klaipėdos r. sav.,193
Mažeikių r. sav.,191
Telšių r. sav.,189
Marijampolės sav.,185
Klaipėdos miesto sav.,184
Kėdainių r. sav.,179
Jonavos r. sav.,164
Panevėžio r. sav.,158
Šalčininkų r. sav.,153
Alytaus m. sav.,151
Ukmergės r. sav.,149
Vilniaus rajono sav.,148
Trakų r. sav.,148
Utenos r. sav.,144
Alytaus r. sav.,141
Šiaulių miesto sav.,140
Šiaulių r. sav.,135
Raseinių r. sav.,134
Radviliškio r. sav.,133
Kauno rajono sav.,130
Rokiškio r. sav.,129
Kaišiadorių r. sav.,128
Panevėžio miesto sav.,122
Pasvalio r. sav.,121
Elektrėnų sav.,108
Šilutės r. sav.,103
Prienų r. sav.,102
Tauragės r. sav.,99
Varėnos r. sav.,97
Biržų r. sav.,97
Plungės r. sav.,89
Kelmės r. sav.,88
Švenčionių r. sav.,84
Druskininkų sav.,83
Molėtų r. sav.,81
Panevėžio rajono sav.,81
Kupiškio r. sav.,80
Šilalės r. sav.,78
Kretingos r. sav.,72
Kėdainių rajono sav.,67
Anykščių r. sav.,67
Alytaus miesto sav.,67
Šakių r. sav.,66
Vilkaviškio r. sav.,66
Raseinių rajono sav.,62
Palangos m. sav.,62
Klaipėdos rajono sav.,59
Rokiškio rajono sav.,57
Šilutės rajono sav.,55
Zarasų r. sav.,55
Šiaulių rajono sav.,55
Širvintų r. sav.,54
Jurbarko r. sav.,53
Prienų rajono sav.,52
Utenos rajono sav.,52
Trakų rajono sav.,52
Pakruojo r. sav.,50
Mažeikių rajono sav.,48
Plungės rajono sav.,48
Anykščių rajono sav.,47
Ukmergės rajono sav.,47
Telšių rajono sav.,46
Kretingos rajono sav.,44
Pagėgių sav.,44
Visagino sav.,44
Pasvalio rajono sav.,43
Radviliškio rajono sav.,43
Ignalinos r. sav.,42
Lazdijų r. sav.,41
Šalčininkų rajono sav.,40
Kalvarijos sav.,40
Joniškio r. sav.,40
Tauragės rajono sav.,38
Alytaus rajono sav.,38
Kazlų Rūdos sav.,37
Rietavo sav.,36
Kelmės rajono sav.,35
Kaišiadorių rajono sav.,34
Jonavos rajono sav.,34
Širvintų rajono sav.,32
Akmenės r. sav.,31
Palangos miesto sav.,30
Biržų rajono sav.,29
Vilkaviškio rajono sav.,28
Molėtų rajono sav.,28
Varėnos rajono sav.,28
Skuodo r. sav.,27
Akmenės rajono sav.,25
Zarasų rajono sav.,25
Šilalės rajono sav.,24
Šakių rajono sav.,23
Kupiškio rajono sav.,22
Birštono sav.,22
Joniškio rajono sav.,22
Pakruojo rajono sav.,21
Lazdijų rajono sav.,21
Švenčionių rajono sav.,18
Jurbarko rajono sav.,18
Skuodo rajono sav.,14
Ignalinos rajono sav.,12
Neringos sav.,8
Kauno m.,0
TRAKŲ R. SAV.,0
Jonavos r.,0
Kauno m. ,0
Vilkaviškio r.,0
Šiaulių m.,0
Kėdainių sav.,0
VILNIAUS M.,0
Lazdijų r.,0
Marijampolės raj.,0
Birštonas,0
VILNIAUS RAJ.,0
Alytaus m.,0
Punios sen.,0
Unknown,0
58Šiaulių m.,0
